LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Product,Branch,ClearDate,CustomerId,Gender,LoanLimit,CreditScore,loan_repayment_txn_count,loan_repayment_total_paid,loan_repayment_first_payment,loan_repayment_last_payment,loan_overpayment,MissedInstalments,Industry,BusinessType,YearEstablished
951920,6000,1750,7750.0,2025-11-29,5 weeks credit ease,engineer,2026-03-01,1819,female,8000.0,3500,1,500,2025-11-29,2025-11-29,0,5.0,food & hospitality,green grocery (fruit/vegetables),2017
951902,4000,1250,5250.0,2025-11-28,5 weeks credit ease,molo,2026-02-01,1818,female,9600.0,2500,1,1550,2025-11-28,2025-11-28,0,4.0,food & hospitality,retail shop,2019
949962,4000,1250,5250.0,2025-11-26,5 weeks credit ease,engineer,2025-12-31,1815,female,8000.0,3500,1,1350,2025-11-26,2025-11-26,0,4.0,food & hospitality,green grocery (fruit/vegetables),2014
949189,4000,1250,5250.0,2025-11-25,5 weeks credit ease,molo,2025-12-30,1814,female,10000.0,1500,1,1000,2025-11-25,2025-11-25,0,4.0,food & hospitality,green grocery (fruit/vegetables),2018
948984,4000,1250,5250.0,2025-11-24,5 weeks credit ease,molo,2025-12-29,1813,female,10000.0,1500,1,1550,2025-11-24,2025-11-24,0,4.0,business & information,bureau & publishing services,2018
948732,4000,1250,5250.0,2025-11-24,5 weeks credit ease,molo,2025-12-29,1812,female,8000.0,1500,1,1550,2025-11-24,2025-11-24,0,4.0,natural resources/environmental,firewood & charcoal vendor,2020
944789,4000,1250,4200.0,2025-11-17,5 weeks credit ease,molo,2025-12-22,1805,female,7000.0,2000,1,1050,2025-11-26,2025-11-26,0,5.0,personal services,cereals,2018
944107,4000,1250,4200.0,2025-11-17,5 weeks credit ease,molo,2025-12-22,1804,female,9000.0,1500,1,1050,2025-11-24,2025-11-24,0,5.0,food & hospitality,hawking- mobile merchandize services,2021
935413,4000,1250,0.0,2025-11-28,5 weeks credit ease,molo,2025-06-12,1787,female,13000.0,2500,1,2600,2025-11-28,2025-11-28,0,2.0,food & hospitality,bar/ restaurant,2018
931751,4000,1250,0.0,2025-11-25,5 weeks credit ease,molo,2025-11-30,1778,female,13000.0,2000,1,1550,2025-11-25,2025-11-25,0,4.0,wholesale & retail trade,green grocery (fruit/vegetables),2022
