LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Product,Branch,ClearDate,CustomerId,Gender,LoanLimit,CreditScore,loan_repayment_txn_count,loan_repayment_total_paid,loan_repayment_first_payment,loan_repayment_last_payment,loan_overpayment,missed_instalments,Industry,Business Type,Year of Establishment
951920,6000,1750,7750,11/29/2025,5 WEEKS CREDIT EASE,ENGINEER,1/3/2026,1819,FEMALE,8000,3500,1,500,29/11/2025,29/11/2025,0,5,Food & Hospitality,Green Grocery (Fruit/Vegetables),2017
951902,4000,1250,5250,11/28/2025,5 WEEKS CREDIT EASE,MOLO,1/2/2026,1818,FEMALE,9600,2500,1,1550,28/11/2025,28/11/2025,0,4,Food & Hospitality,Retail Shop,2019
949962,4000,1250,5250,11/26/2025,5 WEEKS CREDIT EASE,ENGINEER,31/12/2025,1815,FEMALE,8000,3500,1,1350,26/11/2025,26/11/2025,0,4,Food & Hospitality,Green Grocery (Fruit/Vegetables),2014
949189,4000,1250,5250,11/25/2025,5 WEEKS CREDIT EASE,MOLO,30/12/2025,1814,FEMALE,10000,1500,1,1000,25/11/2025,25/11/2025,0,4,Food & Hospitality,Green Grocery (Fruit/Vegetables),2018
948984,4000,1250,5250,11/24/2025,5 WEEKS CREDIT EASE,MOLO,29/12/2025,1813,FEMALE,10000,1500,1,1550,24/11/2025,24/11/2025,0,4,Business & Information,Bureau & Publishing Services,2018
948732,4000,1250,5250,11/24/2025,5 WEEKS CREDIT EASE,MOLO,29/12/2025,1812,FEMALE,8000,1500,1,1550,24/11/2025,24/11/2025,0,4,Natural Resources/Environmental ,Firewood & Charcoal Vendor,2020
944789,4000,1250,4200,11/17/2025,5 WEEKS CREDIT EASE,MOLO,22/12/2025,1805,FEMALE,7000,2000,1,1050,26/11/2025,26/11/2025,0,5,Personal Services ,Cereals,2018
944107,4000,1250,4200,11/17/2025,5 WEEKS CREDIT EASE,MOLO,22/12/2025,1804,FEMALE,9000,1500,1,1050,24/11/2025,24/11/2025,0,5,Food & Hospitality,Hawking- Mobile merchandize Services,2021
935413,4000,1250,0,11/28/2025,5 WEEKS CREDIT EASE,MOLO,12/6/2025,1787,FEMALE,13000,2500,1,2600,28/11/2025,28/11/2025,0,2,Food & Hospitality,Bar/ Restaurant,2018
931751,4000,1250,0,11/25/2025,5 WEEKS CREDIT EASE,MOLO,30/11/2025,1778,FEMALE,13000,2000,1,1550,25/11/2025,25/11/2025,0,4,Wholesale & Retail Trade,Green Grocery (Fruit/Vegetables),2022
931731,3000,1000,0,11/29/2025,5 WEEKS CREDIT EASE,MOLO,29/11/2025,1777,MALE,3600,1800,1,300,29/11/2025,29/11/2025,0,5,Food & Hospitality,Retail Shop,2018
930972,4000,1250,0,11/27/2025,5 WEEKS CREDIT EASE,MOLO,28/11/2025,1776,FEMALE,13000,1500,1,1550,27/11/2025,27/11/2025,0,4,Food & Hospitality,Food Kiosks,2016
930832,5000,1500,0,11/28/2025,5 WEEKS CREDIT EASE,MOLO,28/11/2025,1775,FEMALE,13000,2500,1,1300,28/11/2025,28/11/2025,0,4,Food & Hospitality,Green Grocery (Fruit/Vegetables),2020
943742,6000,1750,4650,11/15/2025,5 WEEKS CREDIT EASE,MOLO,20/12/2025,1773,FEMALE,13000,1500,1,550,29/11/2025,29/11/2025,0,5,Food & Hospitality,Green Grocery (Fruit/Vegetables),2019
925550,4000,1250,0,11/26/2025,5 WEEKS CREDIT EASE,MOLO,19/11/2025,1762,FEMALE,13000,2000,1,2100,26/11/2025,26/11/2025,0,3,Fashion & Beauty Products,Second Hand Clothes,2019
922538,5000,1500,0,11/13/2025,5 WEEKS CREDIT EASE,ENGINEER,13/11/2025,1757,FEMALE,11000,2500,1,1300,13/11/2025,13/11/2025,0,4,Food & Hospitality,Retail Shop,2015
923803,4000,1250,0,11/15/2025,5 WEEKS CREDIT EASE,MOLO,17/11/2025,1721,FEMALE,13000,2000,1,1050,15/11/2025,15/11/2025,0,4,Personal Services ,Beauty Salon,2019
898359,4000,1250,0,10/10/2025,5 WEEKS CREDIT EASE,ENGINEER,10/4/2025,1714,MALE,4600,2500,1,35,10/10/2025,10/10/2025,0,5,Food & Hospitality,Green Grocery (Fruit/Vegetables),2018
946758,7000,2000,7200,11/20/2025,5 WEEKS CREDIT EASE,MOLO,25/12/2025,1713,MALE,11000,2000,1,1200,27/11/2025,27/11/2025,0,5,Food & Hospitality,Food Kiosks,2022
908008,6000,1750,0,10/21/2025,5 WEEKS CREDIT EASE,ENGINEER,20/10/2025,1706,FEMALE,8000,2500,1,6150,21/10/2025,21/10/2025,0,0,Personal Services ,Green Grocery (Fruit/Vegetables),2018
894621,5000,1500,0,9/27/2025,5 WEEKS CREDIT EASE,ENGINEER,27/09/2025,1703,FEMALE,8000,2000,1,1300,27/09/2025,27/09/2025,0,4,Transportation ,Motor Bike Transportation,2019
929854,7000,2800,5500,10/22/2025,7 WEEKS CREDIT EASE,ENGINEER,12/10/2025,1702,FEMALE,7000,3000,1,1400,25/11/2025,25/11/2025,0,7,Food & Hospitality,Bar/ Restaurant,2017
890800,5000,1500,0,9/22/2025,5 WEEKS CREDIT EASE,MOLO,22/09/2025,1697,FEMALE,10000,2000,1,300,22/09/2025,22/09/2025,0,5,Food & Hospitality,Retail Shop,2020
888357,5000,1500,0,9/16/2025,5 WEEKS CREDIT EASE,ENGINEER,17/09/2025,1688,FEMALE,8000,2500,1,1300,16/09/2025,16/09/2025,0,4,Food & Hospitality,Food Kiosks,2019
